transaction_id,customer_id,transaction_date,online_channel,offline_store,total_online_spend_ngn,total_offline_spend_ngn,preferred_channel,cross_channel_purchases,city
XCH0000034,CUST466664,9/25/2024,Konga,Mr Price,156849.79,121314.66,offline,10,Ibadan
XCH0000035,CUST531631,6/3/2024,PayPorte,Pointek,171965.89,84756.32,both,13,Lagos
XCH0000036,CUST525814,7/3/2024,Konga,Mr Price,415657.46,22532.88,online,9,Onitsha
XCH0000037,CUST308826,5/7/2024,Supermart,Computer Village,285316.11,104051.69,both,6,Jos
XCH0000038,CUST111092,3/4/2024,Jumia,Pointek,305390,156577.16,online,5,Lagos
XCH0000039,CUST965005,1/5/2024,Jumia,Justrite,363603.11,171204.85,both,20,Kaduna
XCH0000040,CUST797723,1/12/2024,Jumia,Computer Village,121587.3,113300.99,both,15,Jos
XCH0000041,CUST708521,6/8/2024,Jiji,Balogun Market,277428.97,83982.71,offline,7,Jos
XCH0000042,CUST145111,4/16/2024,Konga,Balogun Market,363770.08,126793.18,both,14,Port Harcourt
XCH0000043,CUST729119,9/22/2024,Jumia,Shoprite,434183.9,65943.1,online,12,Benin City
XCH0000044,CUST751379,5/26/2024,Konga,Computer Village,109158.52,119812.7,online,9,Lagos
XCH0000045,CUST862766,7/2/2024,Jiji,Balogun Market,182119.4,79421.15,both,18,Jos
XCH0000046,CUST363740,6/12/2024,Konga,Slot,429696.79,78054.73,offline,17,Lagos
XCH0000047,CUST878736,10/7/2024,Spar Online,Pointek,342633.43,198539.87,both,15,Onitsha
XCH0000048,CUST375850,2/20/2024,Jumia,Game,299830.14,130557.53,online,5,Kano
XCH0000049,CUST239405,2/2/2024,PayPorte,Justrite,271998.17,105987.18,offline,3,Kaduna
XCH0000050,CUST164589,7/8/2024,Jumia,Computer Village,403709.22,19135.98,online,20,Abuja
XCH0000051,CUST217234,7/21/2024,Jiji,Shoprite,353722.38,147190.4,both,10,Ibadan
XCH0000052,CUST731440,9/15/2024,Konga,Pointek,61953.4,29766.7,online,19,Warri
XCH0000053,CUST291150,5/11/2024,Jiji,Ebeano,479718.64,103362.72,online,16,Kaduna
XCH0000054,CUST385443,1/19/2024,Konga,Balogun Market,213799.99,32130.09,both,12,Lagos
XCH0000055,CUST290871,7/20/2024,Konga,Ebeano,422604.17,165456.42,both,2,Abeokuta
XCH0000056,CUST464780,4/25/2024,Glovo,Spar,105842.6,35537.27,both,13,Ibadan
XCH0000057,CUST932692,8/17/2024,Jumia,Mr Price,208153.49,63054.39,online,18,Kano
XCH0000058,CUST352831,1/31/2024,Jumia,Balogun Market,337832.64,116270.64,online,9,Benin City
XCH0000059,CUST267599,5/31/2024,Jumia,Ebeano,466684.69,157531.57,online,10,Abeokuta
XCH0000060,CUST776375,3/3/2024,Jiji,Pointek,208491.86,172977.69,online,11,Lagos
XCH0000061,CUST713127,7/4/2024,Slot,Game,58910.49,39440.49,offline,10,Ilorin
XCH0000062,CUST815474,4/27/2024,Jumia,Computer Village,84466.85,154533.05,offline,13,Abuja
XCH0000063,CUST503491,9/15/2024,Konga,Slot,110010.02,134317.15,both,19,Enugu
XCH0000064,CUST625565,2/19/2024,Konga,Balogun Market,370289.96,140854.72,online,5,Kaduna
XCH0000065,CUST571336,2/19/2024,Jumia,Slot,93238.52,110424.5,offline,6,Jos
XCH0000066,CUST244759,4/14/2024,Konga,Balogun Market,398985.13,187622.81,both,18,Kano
XCH0000067,CUST645802,10/18/2024,Jumia,Spar,160446.54,168910.15,both,4,Abuja
XCH0000068,CUST128378,6/13/2024,Jumia,Spar,347134.55,5790.59,offline,4,Jos
XCH0000069,CUST212149,3/14/2024,Slot,Pointek,236250.87,189129.94,offline,7,Jos
XCH0000070,CUST618652,6/28/2024,Spar Online,Game,205841.88,24992.68,both,15,Abuja
XCH0000071,CUST698342,3/26/2024,Jumia,Slot,381681.16,108404.42,online,9,Benin City
XCH0000072,CUST555028,1/4/2024,Konga,Shoprite,137022.87,30474.78,online,13,Benin City
XCH0000073,CUST673570,2/18/2024,Jiji,Computer Village,78486.87,7606.8,online,20,Enugu
XCH0000074,CUST724674,2/4/2024,Jiji,Pointek,235517.43,85641.5,both,14,Aba
XCH0000075,CUST996401,7/14/2024,Jumia,Balogun Market,118247.83,106557.9,online,18,Enugu
XCH0000076,CUST451428,6/18/2024,Konga,Slot,292975.11,45827.78,offline,13,Kano
XCH0000077,CUST662170,4/12/2024,Jiji,Computer Village,341258.51,28956.4,both,19,Benin City
XCH0000078,CUST903590,10/13/2024,Jiji,Spar,161717.34,13818.74,both,6,Kaduna
XCH0000079,CUST797736,8/8/2024,Jumia,Balogun Market,238541.63,178180.94,online,13,Abuja
XCH0000080,CUST385928,3/27/2024,Jiji,Game,158141.39,32901.27,both,15,Aba
XCH0000081,CUST444303,3/24/2024,Jumia,Pointek,273549.18,92828.55,online,15,Calabar
XCH0000082,CUST140951,6/26/2024,Konga,Balogun Market,398261.05,61539.63,online,6,Warri
XCH0000083,CUST376245,6/12/2024,PayPorte,Shoprite,234119.48,54111.61,offline,7,Benin City
XCH0000084,CUST378035,5/28/2024,Konga,Slot,442371.52,113019.12,offline,13,Abeokuta
XCH0000085,CUST682443,1/14/2024,Jumia,Balogun Market,201827.78,10090.5,online,15,Ilorin
XCH0000086,CUST974651,7/5/2024,Jumia,Pointek,326775.33,17070.4,both,13,Abuja
XCH0000087,CUST421708,1/25/2024,Jiji,Balogun Market,437146.03,124038.07,offline,16,Calabar
XCH0000088,CUST448091,10/18/2024,Shoprite Online,Computer Village,82655.38,44681.48,online,7,Kano
XCH0000089,CUST766539,10/27/2024,Chowdeck,Justrite,435353.41,26291.25,both,3,Lagos
XCH0000090,CUST258634,2/17/2024,Glovo,Spar,413733.28,97722.9,online,6,Benin City
XCH0000091,CUST777377,2/14/2024,Spar Online,Slot,375545.38,125891.33,online,14,Lagos
XCH0000092,CUST571217,5/31/2024,Jumia,Computer Village,366923.16,130015.33,both,3,Ilorin
XCH0000093,CUST103283,10/24/2024,Jiji,Ebeano,406253.3,178389.07,online,5,Kano
XCH0000094,CUST857351,2/19/2024,Konga,Computer Village,240746.96,133675.93,offline,13,Ilorin
XCH0000095,CUST251333,1/11/2024,PayPorte,Mr Price,87062.88,181367.12,both,20,Kano
XCH0000096,CUST342203,10/3/2024,Konga,Spar,461117.2,173241.88,offline,1,Ibadan
XCH0000097,CUST823504,10/10/2024,Jumia,Pointek,483147.8,8502.17,both,5,Abuja
XCH0000098,CUST577789,8/25/2024,Jiji,Justrite,340723.36,50169.71,both,10,Port Harcourt
XCH0000099,CUST502690,6/5/2024,Konga,Game,180775.22,119597.64,both,6,Benin City
XCH0000100,CUST128716,3/19/2024,PayPorte,Ebeano,405696.13,164217.13,online,19,Jos
XCH0000101,CUST810853,10/9/2024,Konga,Ebeano,494510.14,9966.84,offline,10,Ilorin
XCH0000102,CUST691160,4/27/2024,Slot,Balogun Market,440409.03,80544.27,both,20,Calabar
XCH0000103,CUST144106,3/17/2024,Jumia,Balogun Market,244251.04,87076.29,offline,8,Benin City
XCH0000104,CUST152292,7/7/2024,Jumia,Game,140733.67,54909.71,online,2,Ilorin
XCH0000105,CUST472760,9/14/2024,Glovo,Justrite,97325.04,156181.96,online,7,Abeokuta
XCH0000106,CUST316632,7/11/2024,Konga,Slot,137365.49,64915.97,both,13,Lagos
XCH0000107,CUST302664,7/29/2024,Jumia,Ebeano,94422.23,135139.74,both,2,Ilorin
XCH0000108,CUST290839,1/16/2024,Jumia,Ebeano,451923.51,109099.38,both,1,Onitsha
XCH0000109,CUST242434,2/21/2024,Jumia,Shoprite,361970.12,126013.42,online,18,Ibadan
XCH0000110,CUST914914,9/28/2024,Jumia,Slot,483207.95,103022.22,both,10,Abuja
XCH0000111,CUST562397,9/30/2024,Konga,Shoprite,72594.16,130347.98,both,14,Benin City
XCH0000112,CUST108785,3/14/2024,Shoprite Online,Computer Village,218887.33,85395.29,both,8,Enugu
XCH0000113,CUST155577,9/11/2024,Jiji,Ebeano,212371.12,77650.3,both,5,Abeokuta
XCH0000114,CUST851141,9/13/2024,Jumia,Game,50699.87,65098.82,both,8,Calabar
XCH0000115,CUST815982,9/18/2024,Supermart,Pointek,27535.6,167563.51,both,7,Onitsha
XCH0000116,CUST741933,7/7/2024,Konga,Mr Price,125912.16,15888.28,both,2,Ibadan
XCH0000117,CUST287339,9/20/2024,Jumia,Shoprite,443530.83,106688.14,online,16,Port Harcourt
XCH0000118,CUST717452,8/4/2024,Konga,Spar,238364.12,46889.12,both,6,Warri
XCH0000119,CUST836725,6/22/2024,Jiji,Computer Village,393818.82,64643.33,online,6,Jos
XCH0000120,CUST516928,3/13/2024,Jumia,Spar,369637.08,173138.94,offline,4,Kano
XCH0000121,CUST500527,1/9/2024,Konga,Mr Price,409284.12,98082.71,offline,7,Abuja
XCH0000122,CUST186648,1/30/2024,Jiji,Balogun Market,283459.1,47238.4,online,6,Abeokuta
XCH0000123,CUST668108,9/13/2024,Spar Online,Spar,247341.38,95607.21,online,6,Benin City
XCH0000124,CUST104592,2/19/2024,Chowdeck,Game,490947.16,165856.93,both,3,Benin City
XCH0000125,CUST223868,6/18/2024,Jumia,Shoprite,489516.86,80158.74,both,13,Benin City
XCH0000126,CUST320425,3/25/2024,Jiji,Pointek,228639.47,65387.36,online,10,Lagos
XCH0000127,CUST607791,3/13/2024,Jumia,Mr Price,136352.28,78560.42,online,19,Enugu
XCH0000128,CUST911087,8/27/2024,Konga,Spar,495857.18,93931.7,offline,6,Aba
XCH0000129,CUST401885,6/28/2024,Jumia,Balogun Market,187708.87,128598.2,both,15,Onitsha
XCH0000130,CUST448538,8/31/2024,PayPorte,Slot,317816.43,48571.15,both,20,Warri
XCH0000131,CUST809138,6/1/2024,Jumia,Justrite,489748.77,197001.77,offline,11,Calabar
XCH0000132,CUST440377,6/4/2024,Jumia,Spar,76465.96,120575.61,online,16,Kaduna
XCH0000133,CUST937302,8/6/2024,Spar Online,Computer Village,391059.7,98661.23,offline,8,Warri
XCH0000134,CUST106267,4/5/2024,Konga,Balogun Market,436185.55,36362.67,online,17,Abeokuta
XCH0000135,CUST838232,2/5/2024,Jumia,Mr Price,69597.7,157157.65,online,19,Jos
XCH0000136,CUST309415,8/31/2024,Glovo,Pointek,437842.05,26179.21,offline,7,Kaduna
XCH0000137,CUST920605,8/23/2024,Jumia,Balogun Market,175490.8,184899.49,both,4,Onitsha
XCH0000138,CUST822519,4/12/2024,Slot,Computer Village,386580.65,45545,both,13,Calabar
XCH0000139,CUST967516,10/3/2024,Konga,Justrite,480336.61,109495.4,online,10,Ibadan
XCH0000140,CUST392013,3/31/2024,Jumia,Mr Price,244107.31,161499.19,online,5,Kano
XCH0000141,CUST902458,3/24/2024,Jumia,Mr Price,193396.29,91299.87,online,5,Kaduna
XCH0000142,CUST665456,3/19/2024,Jiji,Ebeano,382197.62,98994.68,online,12,Ibadan
XCH0000143,CUST513353,9/1/2024,Jumia,Game,50120.3,81492.07,online,4,Benin City
XCH0000144,CUST461476,2/13/2024,Jumia,Computer Village,402710.78,24290.06,online,15,Kaduna
XCH0000145,CUST841533,6/4/2024,PayPorte,Computer Village,85057.56,63281.92,both,10,Benin City
XCH0000146,CUST256222,10/12/2024,Shoprite Online,Balogun Market,150476.83,44834.49,both,17,Abuja
XCH0000147,CUST417137,5/26/2024,Konga,Balogun Market,470046.33,146734.07,both,9,Abeokuta
XCH0000148,CUST550021,2/1/2024,Jumia,Mr Price,392382.05,28762.51,offline,4,Ibadan
XCH0000149,CUST442217,5/19/2024,Jumia,Balogun Market,40830.53,131387.81,both,14,Calabar
XCH0000150,CUST317177,4/20/2024,Konga,Game,30643.48,106743.84,offline,2,Port Harcourt
XCH0000151,CUST909043,1/4/2024,Jumia,Ebeano,186965.28,17035.78,both,17,Port Harcourt
XCH0000152,CUST446089,1/5/2024,Konga,Game,403528.56,118484.51,both,2,Jos
XCH0000153,CUST565637,9/8/2024,Konga,Justrite,323692.72,102462.07,offline,8,Onitsha
XCH0000154,CUST311360,2/26/2024,Spar Online,Balogun Market,383304.06,45616.66,online,3,Kaduna
XCH0000155,CUST569323,2/19/2024,Konga,Game,325936.61,173968.84,both,14,Kano
XCH0000156,CUST617658,5/5/2024,Shoprite Online,Pointek,12166.36,152307.32,offline,20,Enugu
XCH0000157,CUST589100,10/4/2024,Spar Online,Balogun Market,182880.19,155455.99,both,4,Jos
XCH0000158,CUST560619,10/6/2024,Jumia,Mr Price,165342,10354.59,offline,7,Ilorin
XCH0000159,CUST237082,7/30/2024,Jumia,Game,53050.68,67282.12,online,9,Jos
XCH0000160,CUST711671,1/3/2024,Jiji,Computer Village,251222.18,95519.13,offline,7,Port Harcourt
XCH0000161,CUST961972,5/28/2024,Konga,Balogun Market,492025.06,33140.61,offline,7,Abuja
XCH0000162,CUST757560,5/3/2024,Jiji,Computer Village,139266.15,151409.44,both,18,Enugu
XCH0000163,CUST233307,9/25/2024,Slot,Game,383588,72163.25,both,8,Lagos
XCH0000164,CUST804878,7/21/2024,Konga,Ebeano,193164.49,36919.89,online,2,Warri
XCH0000165,CUST232273,5/27/2024,Jiji,Balogun Market,259829.56,129606.37,online,6,Lagos
XCH0000166,CUST924520,2/6/2024,Jumia,Balogun Market,66079.49,5742.86,both,17,Aba
XCH0000167,CUST959315,1/23/2024,Jumia,Shoprite,266510.16,69981.22,both,8,Port Harcourt
XCH0000168,CUST277334,7/22/2024,Jumia,Spar,455361.97,82280.56,offline,7,Abuja
XCH0000169,CUST838399,7/20/2024,Jumia,Justrite,228208.15,139696.72,both,20,Jos
XCH0000170,CUST120686,10/25/2024,Jiji,Pointek,14551.12,48746.14,online,14,Jos
XCH0000171,CUST280258,9/14/2024,Slot,Computer Village,49768.29,30004.02,both,6,Aba
XCH0000172,CUST734044,3/5/2024,Konga,Balogun Market,466548.07,96148.49,online,15,Port Harcourt
XCH0000173,CUST344683,9/30/2024,Konga,Game,415216.72,144057.07,both,6,Onitsha
XCH0000174,CUST989284,1/20/2024,Konga,Ebeano,425119.35,176839.46,offline,8,Kaduna
XCH0000175,CUST506858,3/10/2024,Jiji,Slot,194205.26,19884.97,online,12,Jos
XCH0000176,CUST815528,9/7/2024,Supermart,Balogun Market,256964.45,132836.78,offline,17,Ilorin
XCH0000177,CUST753926,1/23/2024,Jumia,Justrite,380323.76,94019,both,15,Kano
XCH0000178,CUST506330,6/8/2024,Jumia,Ebeano,215115.41,43134.57,both,11,Aba
XCH0000179,CUST724281,5/31/2024,Konga,Pointek,445867.6,5680.76,online,8,Ilorin
XCH0000180,CUST319025,8/15/2024,Jiji,Spar,148937.51,6708.05,both,7,Ilorin
XCH0000181,CUST180525,1/22/2024,Jiji,Ebeano,88730.9,47844.1,online,10,Kaduna
XCH0000182,CUST962402,1/25/2024,Slot,Mr Price,34929.76,42317.4,offline,5,Abuja
XCH0000183,CUST625962,6/28/2024,Jiji,Ebeano,379982.04,15005.55,both,7,Kaduna
XCH0000184,CUST736239,7/31/2024,Jumia,Game,414359.1,81665.98,online,4,Abeokuta
XCH0000185,CUST392143,6/18/2024,Jumia,Balogun Market,71299.63,13311.97,offline,12,Aba
XCH0000186,CUST503156,2/23/2024,Konga,Mr Price,65808.3,38661.54,offline,10,Calabar
XCH0000187,CUST610925,2/28/2024,Glovo,Computer Village,215477.23,191963.32,offline,16,Warri
XCH0000188,CUST194651,1/15/2024,PayPorte,Balogun Market,358691.37,137249.58,online,16,Enugu
XCH0000189,CUST970984,7/19/2024,Jumia,Computer Village,83244.59,30200.67,both,14,Calabar
XCH0000190,CUST829402,5/5/2024,Konga,Shoprite,152937.71,42779.86,offline,18,Calabar
XCH0000191,CUST345897,9/9/2024,Slot,Spar,390105.06,103483.17,offline,12,Ilorin
XCH0000192,CUST657267,4/25/2024,Jiji,Mr Price,79718.87,154835.61,offline,15,Ilorin
XCH0000193,CUST645799,3/3/2024,Slot,Spar,406006.53,96474.96,offline,20,Benin City
XCH0000194,CUST139053,3/10/2024,Konga,Ebeano,13258.85,39900.66,online,7,Ibadan
XCH0000195,CUST672029,9/15/2024,Shoprite Online,Ebeano,390898.6,139800,both,14,Kaduna
XCH0000196,CUST938446,6/24/2024,Shoprite Online,Ebeano,411831.41,158696.72,offline,19,Aba
XCH0000197,CUST903687,5/2/2024,Jumia,Pointek,182708.78,54293.48,offline,7,Ilorin
XCH0000198,CUST144074,7/13/2024,Jumia,Mr Price,263757.31,82781.94,both,7,Ilorin
XCH0000199,CUST447998,2/10/2024,Slot,Computer Village,230190.26,87916.79,offline,20,Aba
XCH0000200,CUST193071,1/30/2024,Jiji,Ebeano,318974.18,70408.16,online,1,Kano
XCH0000201,CUST682564,1/9/2024,Shoprite Online,Pointek,425097.07,148745.05,online,13,Enugu
XCH0000202,CUST110879,3/21/2024,Konga,Pointek,38728.49,176674.45,online,11,Lagos
XCH0000203,CUST741914,9/20/2024,Jiji,Mr Price,148687.28,34459.49,offline,18,Onitsha
XCH0000204,CUST547493,4/28/2024,Jiji,Computer Village,219911.08,89428.1,both,6,Kaduna
XCH0000205,CUST789344,8/17/2024,Slot,Slot,427609.19,99729.68,both,7,Aba
XCH0000206,CUST121836,2/9/2024,Jumia,Ebeano,429950.09,102902.14,online,19,Ibadan
XCH0000207,CUST901580,6/6/2024,Jumia,Justrite,270030.06,37791.32,online,16,Enugu
XCH0000208,CUST592805,2/9/2024,Shoprite Online,Balogun Market,70121.09,169233.47,offline,14,Kaduna
XCH0000209,CUST988201,4/18/2024,Slot,Spar,442627.59,46104.15,offline,17,Onitsha
XCH0000210,CUST693953,6/28/2024,Jiji,Ebeano,171031.07,186261.28,both,16,Lagos
XCH0000211,CUST383610,6/12/2024,Jumia,Mr Price,31379.8,127820.46,online,11,Jos
XCH0000212,CUST289666,10/5/2024,Shoprite Online,Pointek,493537.05,171031.14,online,12,Ilorin
XCH0000213,CUST472034,5/29/2024,Jumia,Game,154065.05,153505.44,offline,2,Ibadan
XCH0000214,CUST351826,3/1/2024,Shoprite Online,Mr Price,231873.92,27668.54,online,14,Aba
XCH0000215,CUST266361,1/30/2024,Konga,Computer Village,181758.11,68383.95,online,7,Ibadan
XCH0000216,CUST890282,2/3/2024,Jumia,Ebeano,109941.39,91510.04,offline,8,Aba
XCH0000217,CUST983770,10/13/2024,Konga,Slot,439189.26,196473.56,both,14,Benin City
XCH0000218,CUST214063,7/31/2024,Jumia,Justrite,442531.35,83966.01,both,13,Kano
XCH0000219,CUST693768,6/30/2024,Konga,Pointek,396319.01,75291.88,online,17,Kano
XCH0000220,CUST442632,2/10/2024,Jumia,Mr Price,224018.65,107244.39,offline,9,Ibadan
XCH0000221,CUST932999,1/10/2024,Jumia,Balogun Market,137097.73,37519.52,online,13,Enugu
XCH0000222,CUST334476,2/5/2024,Konga,Ebeano,223216.36,102437.79,both,15,Kano
XCH0000223,CUST953219,6/9/2024,Jumia,Ebeano,64199.64,189334.02,offline,4,Enugu
XCH0000224,CUST258407,4/11/2024,Jumia,Ebeano,248612.52,157647.14,offline,13,Jos
XCH0000225,CUST883224,5/5/2024,Jumia,Ebeano,15436.5,91919.99,both,7,Lagos
XCH0000226,CUST785635,10/1/2024,Jumia,Shoprite,218552.61,30907.95,offline,4,Kaduna
XCH0000227,CUST264883,6/14/2024,Jiji,Justrite,95997.71,155878.57,both,12,Kaduna
XCH0000228,CUST155542,6/24/2024,Jiji,Pointek,252644.81,35289.22,online,20,Onitsha
XCH0000229,CUST592865,10/10/2024,Glovo,Computer Village,162248.67,168819.23,online,7,Warri
XCH0000230,CUST882382,2/21/2024,Jiji,Spar,13145.64,161966.72,online,1,Ilorin
XCH0000231,CUST864125,4/20/2024,PayPorte,Pointek,196681.77,152187.93,online,12,Kaduna
XCH0000232,CUST172957,1/19/2024,Jiji,Game,335591.74,110707.3,both,7,Ilorin
XCH0000233,CUST233703,1/26/2024,Jumia,Game,273678.47,158838.94,both,12,Calabar
XCH0000234,CUST313690,2/28/2024,Jumia,Ebeano,26419.75,164194.52,both,9,Enugu
XCH0000235,CUST611725,5/29/2024,PayPorte,Game,19953.95,48044.93,online,15,Port Harcourt
XCH0000236,CUST791554,7/15/2024,Jumia,Balogun Market,279026.6,150603.59,offline,17,Lagos
XCH0000237,CUST721726,4/25/2024,Konga,Pointek,382973.02,117943.65,offline,7,Benin City
XCH0000238,CUST883413,4/8/2024,PayPorte,Game,345821.34,194538.52,both,14,Ibadan
XCH0000239,CUST790255,8/24/2024,Jumia,Game,59585.37,119398.94,both,11,Abuja
XCH0000240,CUST990826,5/28/2024,Supermart,Computer Village,141780.28,157402.13,offline,19,Jos
XCH0000241,CUST111982,10/8/2024,Konga,Ebeano,56659.39,135331.18,both,5,Enugu
XCH0000242,CUST212195,4/2/2024,Jumia,Pointek,62920.73,145622.63,offline,8,Aba
XCH0000243,CUST257853,1/21/2024,Konga,Mr Price,274391.81,189766.83,offline,1,Kaduna
XCH0000244,CUST694191,3/17/2024,Jumia,Game,212605.92,36790.9,offline,4,Onitsha
XCH0000245,CUST499320,1/2/2024,Konga,Game,121786.7,102328.19,both,16,Abeokuta
XCH0000246,CUST524951,9/7/2024,Jiji,Mr Price,232109.82,23633.24,online,16,Enugu
XCH0000247,CUST817415,3/14/2024,Glovo,Spar,131786.19,166127.62,both,12,Lagos
XCH0000248,CUST957477,4/27/2024,Shoprite Online,Shoprite,319822.45,43678.79,both,6,Aba
XCH0000249,CUST700397,8/5/2024,Shoprite Online,Ebeano,432075.04,108828.28,online,20,Abeokuta
XCH0000250,CUST395365,8/31/2024,Konga,Computer Village,66925.67,178893.53,offline,12,Abuja
XCH0000251,CUST690893,7/12/2024,Spar Online,Justrite,397203.56,116315.21,offline,3,Lagos
XCH0000252,CUST395842,6/24/2024,Jiji,Balogun Market,464005.24,39149.05,online,15,Abeokuta
XCH0000253,CUST210008,4/22/2024,Konga,Slot,364258.15,87792.11,both,10,Onitsha
XCH0000254,CUST116292,10/2/2024,Slot,Mr Price,189544.34,25354.97,both,12,Kano
XCH0000255,CUST933977,3/27/2024,PayPorte,Computer Village,122295.59,170715.89,online,16,Jos
XCH0000256,CUST157866,10/6/2024,Jumia,Justrite,353056.35,125579.44,both,20,Aba
XCH0000257,CUST536804,5/15/2024,Konga,Computer Village,422920.53,169508.78,offline,14,Jos
XCH0000258,CUST939247,4/3/2024,Supermart,Slot,118019.5,58419.81,online,11,Benin City
XCH0000259,CUST210323,6/8/2024,Jiji,Shoprite,217380.28,12671.36,offline,17,Kano
XCH0000260,CUST687866,4/30/2024,Slot,Justrite,179499.51,110216.31,online,4,Lagos
XCH0000261,CUST169879,2/7/2024,Jumia,Shoprite,191298.58,187820.68,both,14,Onitsha
XCH0000262,CUST548663,10/16/2024,Jiji,Spar,187027.98,20022.27,online,19,Ibadan
XCH0000263,CUST210074,5/29/2024,Konga,Justrite,98516.41,105134.14,both,6,Lagos
XCH0000264,CUST642361,6/20/2024,Jumia,Game,158855.77,40997.7,both,8,Abeokuta
XCH0000265,CUST169855,5/16/2024,Jumia,Mr Price,274320.19,180885.71,online,20,Jos
XCH0000266,CUST374456,10/9/2024,Jiji,Computer Village,394920.09,25678.69,online,1,Kaduna
XCH0000267,CUST518452,4/13/2024,Jumia,Computer Village,174999.49,101352.14,offline,8,Warri
XCH0000268,CUST933787,1/29/2024,Spar Online,Balogun Market,87725.26,98484.48,both,1,Benin City
XCH0000269,CUST756510,2/1/2024,Jumia,Pointek,306929.8,45279.1,offline,9,Kaduna
XCH0000270,CUST821064,5/21/2024,Konga,Spar,77744.45,80125.67,both,9,Aba
XCH0000271,CUST245518,3/18/2024,PayPorte,Ebeano,99110.7,28252.36,offline,6,Abeokuta
XCH0000272,CUST885976,5/18/2024,Jumia,Mr Price,39388.03,129849.48,both,19,Ilorin
XCH0000273,CUST928710,3/24/2024,PayPorte,Pointek,57272.72,48812.76,online,3,Abuja
XCH0000274,CUST635245,5/12/2024,Jumia,Pointek,337446.72,81480.88,online,7,Ibadan
XCH0000275,CUST971585,7/4/2024,Konga,Computer Village,278812.93,109816.73,both,16,Abeokuta
XCH0000276,CUST837491,6/9/2024,Jumia,Balogun Market,136476.05,25412.44,both,16,Aba
XCH0000277,CUST736344,7/21/2024,Konga,Slot,388725.95,193630.23,online,20,Port Harcourt
